label,company,address,city,state,zip,phone,fax,toll-free,website,description,employees,sales-volume,established,first-name-1,last-name-1,title-1,gender-1,first-name-2,last-name-2,title-2,gender-2,first-name-3,last-name-3,title-3,gender-3,first-name-4,last-name-4,title-4,gender-4,first-name-5,last-name-5,title-5,gender-5,first-name-6,last-name-6,title-6,gender-6,first-name-7,last-name-7,title-7,gender-07,first-name-08,last-name-8,title-8,gender-8,first-name-9,last-name-9,title-9,gender-9,first-name-10,last-name-10,title-10,gender-10,first-name-11,last-name-11,title-11,gender-11,first-name-12,last-name-12,title-12,gender-12,first-name-13,last-name-13,title-13,gender-13,first-name-14,last-name-14,title-14,gender-14,first-name-15,last-name-15,title-15,gender-15,first-name-16,last-name-16,title-16,gender-16,first-name-17,last-name-17,title-17,gender-17,first-name-18,last-name-18,title-18,gender-18,first-name-19,last-name-19,title-19,gender-19,first-name-20,last-name-20,title-20,gender-20,first-name-21,last-name-21,title-21,gender-21,first-name-22,last-name-22,title-22,gender-22,first-name-23,last-name-23,title-23,gender-23,first-name-24,last-name-24,title-24,gender-24,first-name-25,last-name-25,title-25,gender-25,first-name-26,last-name-26,title-26,gender-26,first-name-27,last-name-27,title-27,gender-27,first-name-28,last-name-28,title-28,gender-28,first-name-29,last-name-29,title-29,gender-29,first-name-30,last-name-30,title-30,gender-30,first-name-31,last-name-31,title-31,gender-31,first-name-32,last-name-32,title-32,gender-32,first-name-33,last-name-33,title-33,gender-33,first-name-34,last-name-34,title-34,gender-34,first-name-35,last-name-35,title-35,gender-35,first-name-36,last-name-36,title-36,gender-36,first-name-37,last-name-37,title-37,gender-37,first-name-38,last-name-38,title-38,gender-38,first-name-39,last-name-39,title-39,gender-39,first-name-40,last-name-40,title-40,gender-40,first-name-41,last-name-41,title-41,gender-41,first-name-42,last-name-42,title-42,gender-42,first-name-43,last-name-43,title-43,gender-43,first-name-44,last-name-44,title-44,gender-44,first-name-45,last-name-45,title-45,gender-45,first-name-46,last-name-46,title-46,gender-46,first-name-47,last-name-47,title-47,gender-47,first-name-48,last-name-48,title-48,gender-48,first-name-49,last-name-49,title-49,gender-49,first-name-50,last-name-50,title-50,gender-50
woodland-mills,Woodland Mills,4021 Highway 108 E,Mill Spring,NC,28756,8288948201,,,,,115,"$18,866,000",1967,Don,Church,Manager,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wood-perfect,Wood Perfect,131 Rhea St,Richfield,NC,28137,7046371508,,,,,104,"$11,111,000",2018,Wayne,Davis,Manager,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wood-grain-millwork,Wood Grain Millwork,820 Complex Pl,Lenoir,NC,28645,8287542089,,,Woodgrainmillwork.Com,,170,"$20,046,000",,Greg,Henderson,Mfg Exec,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wnc-parent-magazine,WNC Parent Magazine,14 Ohenry Ave,Asheville,NC,28801,8282326001,,,,,250,"$18,789,000",,Pauline,Mc Daniel,Manager,Female,Shannon,Bullard,HR Executive,Female,Susan,Dufour,Sales Exec,Female,Christina,Corey,Marketing Exec,Female,Jackie,Stenseth,Finance Exec,,Lori,Tomlin,IT Executive,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wix-filtration-corp,Wix Filtration Corp,1 Wix Way,Gastonia,NC,28054,7048646711,7048610727,8009496698,Wixfilters.Com,,200,"$17,182,000",1939,Keith,Wilson,CEO,Male,Brent,Harrelson,Owner,Male,Terry,Mccornick,President,Male,Jeff,Blocher,Vice President,Male,Bill,Meyer,Regional Mgr,Male,Dan,Rauso,Regional Mgr,Male,John,Rozegnal,Regional Mgr,Male,Bryan,Watson,Regional Mgr,Male,Tom,Wilkinson,Regional Mgr,Male,Paul,Bandoly,Manager,Male,Rebecca,Faile,Manager,Female,Melissa,Flowers,Manager,Female,Mike,Harvey,Manager,Male,Jeff,Blocher,Sales Exec,Male,Norbert,Schuermann,Sales Exec,Male,David,Hogue,Marketing Exec,Male,Bill,Meyer,Business Dev,Male,Dan,Rauso,Business Dev,Male,John,Rozegnal,Business Dev,Male,Bryan,Watson,Business Dev,Male,Tom,Wilkinson,Business Dev,Male,Darrell,Mckenzie,Operation Exec,Male,Bruce,Coffey,Engr/Tech,Male,Bill,Dunfee,Engr/Tech,Male,Fred,Lynn,Engr/Tech,Male,Mike,Harvey,Sales,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wireway/husky-corp,Wireway/Husky Corp,6146 Denver Industrial Park Rd,Denver,NC,28037,7044831910,7044831911,8004385629,Huskyrackandwire.Com,"The Only Manufacturer IN The Country Producing Both Pallet Rack And Wire Decks IN The Same Facility Is Wireway/Husky. Wireway/Husky Is A Producer Of Material Handling And Wire Decking Products. Its Product Line Includes Pallet Racks, Security Wire Partitions, Wire Decking, Cable Reel Racks And Pallet Rack Guarding Systems. The Company Produces And Sells Pallet Rack, Folding Gates, Wire Partitions And Accessories Nation-Wide To The Material Handling Industry. Wireway/Husky Also Offers Custom Design Of Rack System Components, Seismic Design And Review And Will Review And Certify Warehouse Layouts. The Company Has Been IN Operation Since 1964 And Is Located IN Denver, N.C.",250,"$23,657,000",1977,Ronald A,Young,CEO,Male,Ron,Young,Owner,Male,Ron,Young,President,Male,Ryan A,Young,President,Male,Gregory,Young,Executive VP,Male,Susan,Meyers,Vice President,Female,Eric,Gundlach,Manager,Male,Janice,Motes,Manager,Female,Al,Seguin,Manager,Male,Ronald A,Young,Chairman,Male,Gissella,Busse,HR Executive,Female,Simon,Brain,Sales Exec,Male,Susan,Meyers,Finance Exec,Female,Ryan A,Young,Treasurer,Male,Gregory,Young,Operation Exec,Male,Vickie,Lawrence,Purchase Exec,Female,Steve,Cockerham,Sales,Male,Deborah,Gundlach,Marketing,Female,Bradford,Chatigny,Board Member,Male,Ronald,Noonan,Board Member,Male,Ronald A,Young,Board Member,Male,Ryan,Young,Board Member,Male,Rebecca,Young,Other,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wire-bond,Wire Bond,400 Rountree Rd,Charlotte,NC,28217,7045255554,7045296929,8008496722,Wirebond.Com,,170,"$211,497,000",1975,Ralph,Johnson Iii,Owner,Male,Ian,Walsh,Vice President,Male,Theodore,Erickson,Site Manager,Male,Thomas,Ellington,Manager,Male,Charlotte,Kilpatrick,HR Executive,Female,Mike,Ripley,Sales Exec,Male,Ralph,Johnson Iii,Marketing Exec,Male,Mark,Mc Clure,Finance Exec,Male,Paul,Pannell,Engr/Tech,Male,Gary,Tyler,Purchase Exec,Male,Ralph O,Johnson Iii,Other,Male,Kathryn J,Tyler,Other,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
winston-salem-industries,Winston-Salem Industries,7730 N Point Blvd,Winston Salem,NC,27106,3367590551,,8002427726,Ifbsolutions.Org,"Winston-Salem Industries For The Blind, Founded IN 1936 And Based IN Winston-Salem, N.C., Provides Employment And Services For Visually Impaired People. The Institution Produces A Range Of Products, Ranging From Custom-Made Mattresses And Military Clothing To Prescription Eyeglasses For Consumers IN The Local Community And Throughout The Nation, As Well As For Military Personnel And Their Families Around The World. It Provides Training, Employment And Related Services For Visually Impaired People Through A Number Of Work Processes And Training Programs. Winston-Salem Industries For The Blind Is A Nonprofit Organization That Is One Of The Largest Employers Of The Visually Impaired IN North Carolina With More Than 200 Employees.",500,$0,1936,David,Horton,CEO,Male,Dan,Kelly,Vice President,Male,Pamela,Miller,Vice President,Female,Pedro,Rojas,Vice President,Male,Nelson,Vazquez,Vice President,Male,Jeanne,Wilkinson,Vice President,Female,David,Hampton,Exec Director,Male,David,Horton,Exec Director,Male,Jerry,Phillips,Administrator,Male,Seth,Anderson,Director,Male,David,Barnwell,Director,Male,Dan,Carson,Director,Male,Kevin,Dooley,Director,Male,Ken,Edwards,Director,Male,Gary,Mendelsohn,Director,Male,Pedro,Rojas,Director,Male,Bryan,Singleton,Director,Male,Kristine,Southern,Director,Female,John,Trenholm,Director,Male,William,Birbick,Manager,Male,Shawn,Blanks,Manager,Male,Brent,Burkholder,Manager,Male,Zoie,Forsythe,Manager,Female,Clayton,Gartrell,Manager,Male,Ann,Joyner,Manager,Female,Gary,Rippey,Manager,Male,Jamal,Robinson,Manager,Male,Barbara,Soderlund,Manager,Female,Brad,Word,Manager,Male,Daniel J,Boucher,Chairman,Male,Sam,George,CFO,Male,Mark,Murray,Sales Exec,Male,Silas,Martin,IT Executive,Male,Sam,George,IT,Male,Annette,Clinard,HR,Female,Nebra,Halsey,Marketing,,David,Horton,Marketing,Male,Jerry,O'Hagen,Marketing,Male,John,Tuohy,Marketing,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wilsonart-llc,Wilsonart LLC,80 LA White Dr,Fletcher,NC,28732,8286540747,8286517545,8002242351,Wilsonart.Com,"Wilsonart International Produces A Wide Range Of Products For Decorative Surfacing. The Company Offers Laminates, Solid-Surface Materials, Flooring And Adhesives For The Residential, Commercial And Retail Markets. It Supplies Laminates IN Various Colors, Styles And Patterns For Kitchen And Bathroom Applications. Wilsonart Features The Gibraltar, Renaissance Collection And Earthstone Lines Of Solid Surface. The Company S Acrylic-Based Surface Products Are Solid And Nonporous. It Develops High-Pressure Laminate Flooring For Kitchens, Great Rooms, Kids' Rooms And Light-To-Medium Commercial Installations. Wilsonart S Estate Plus And Classic Floors Are Among The First IN The Industry To Be Certified By The North American Laminate Flooring Association. The Company Was Established IN 1956 And Is Based IN Temple, Texas. It Maintains A Location IN Fletcher, N.C.",500,"$138,246,000",1980,Denis,Clark,Mfg Exec,Male,Susan,Thompson,HR Executive,Female,David,Whiteside,Sales Exec,Male,Cindy,Haney,Finance Exec,Female,Mary,Alexander,IT Executive,Female,Sam,Montgomery,Purchase Exec,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wilson-apparel,Wilson Apparel,2005 Baldree Rd S,Wilson,NC,27893,9192917358,,,,,150,"$190,705,000",1985,Marshall,Aycock,Mfg Exec,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
williamston-yarns,Williamston Yarns,23213 NC 125,Williamston,NC,27892,2527927033,2527921561,,,"Fruit Of The Loom Is A Manufacturer Of Garments For Men, Women And Children. Operational For More Than 150 Years, The Company Offers T-Shirts, Shorts And Sweatshirts. Its Garments Are Available IN Various Design, Color And Materials. Fruit Of The Loom Also Provides Tank Tops, Socks And Outerwear. It Offers Its Products Under The Fruit Of The Loom Funpals, Fungals And Underoos Brands. The Company Also Manufactures Briefs, Boxers And Shirts. Fruit Of The Loom Yarns, Knits, Sews And Packages Garments. It Provides A Loom Fit For ME Collection For Girls.",282,"$39,460,000",1988,Wayne,Brooks,Mfg Exec,Male,Johnathan,Sparks,HR Executive,Male,Randy,Garner,Finance Exec,Male,Ryan,Garner,Controller,Male,Wayne,Brooks,Operation Exec,Male,Randy,Garner,IT Executive,Male,Kevin,Mc Keel,Engr/Tech,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
williamsburg-plant,Williamsburg Plant,5928 Highway 87 N,Burlington,NC,27215,3365840321,3365847213,,,,100,"$19,205,000",,Glenn,Hall,Site Manager,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
